Date_Before,Header_count,Word_count
001,17,24043
002,24,16529
003,17,32147
004,23,27348
005,29,24351
006,25,17139
007,21,24401
008,21,31761
009,22,30485
010,19,32911
011,21,36204
012,18,34839
013,90,194575
014,44,67770
015,18,17546
016,17,18483
017,15,14075
018,21,18064
019,19,24433
020,19,28429
021,19,24110
022,17,15432
023,21,29049
024,21,30961
025,21,38377
026,27,45260
027,23,30832
028,21,29542
029,22,27864
030,21,33940
031,21,26883
032,22,30046
033,22,30414
034,19,24077
035,22,25583
036,22,32669
037,25,40836
038,20,21204
039,24,37035
040,23,156965
041,24,36176
042,24,44719
043,21,43144
044,26,38815
045,26,31108
046,26,40159
047,22,35725
048,29,43278
049,23,46780
050,25,46781
051,21,35846
052,31,35621
053,25,30346
054,27,50520
055,26,46827
056,25,23158
057,22,28393
058,25,25975
059,24,40385
060,24,27134
061,25,30279
062,24,32522
063,27,30687
064,23,35747
065,23,31937
066,25,29068
067,28,40163
068,27,51117
069,23,25364
070,28,26205
071,25,78297
072,22,23866
073,21,12693
074,21,15335
075,23,22054
076,22,35635
077,21,36772
078,21,37958
079,21,45227
080,23,25434
081,22,30626
082,19,41535
083,21,29968
084,23,26920
085,20,22248
086,20,28587
087,19,30105
088,20,23263
089,18,12912
090,23,32228
091,21,23111
092,20,28034
093,20,38096
094,19,50162
095,20,27087
096,20,33109
097,22,56350
098,21,27354
099,21,22742
100,18,25560
101,21,35025
102,20,19006
103,22,32477
104,21,25556
105,20,23870
106,21,21942
107,22,21608
108,21,21756
109,17,17635
110,18,20378
111,19,16901
112,17,30875
113,18,31913
114,18,26859
115,19,24442
116,17,27270
117,19,38084
118,28,38065
119,20,20611
120,17,21035
121,19,19472
122,20,15635
123,18,21824
124,16,16322
125,17,16723
126,17,13420
127,16,10757
128,17,13998
129,16,14258
130,16,17506
131,15,13734
132,15,14262
133,17,17182
134,14,16283
135,16,18686
136,16,24297
137,15,11514
138,17,11435
139,16,14164
140,15,18164
141,16,20638
142,16,12978
143,15,16867
144,15,19821
145,15,17301
146,16,16887
147,16,18608
148,16,13401
149,17,14924
150,16,14751
151,17,17343
152,17,32648
153,19,18715
154,16,13324
155,17,12969
156,18,13324
157,17,15726
158,19,15282
159,19,14383
160,22,14154
161,21,16807
162,18,12659
163,21,21062
164,15,9213
165,16,42829
166,17,23937
167,17,21874
168,18,10783
169,17,16420
170,17,13198
171,16,11827
172,16,12580
173,15,18384
174,17,32475
175,17,12810
176,17,14598
177,17,21671
178,17,26213
179,16,20437
180,16,17889
181,14,16836
182,12,9119
183,17,25602
184,16,31523
185,15,21310
186,16,15972
187,14,18484
188,15,17739
189,14,20639
190,14,15913
191,15,19877
192,16,15865
193,16,10281
194,17,89692
195,16,15183
196,14,9575
197,15,13612
198,21,33195
199,18,11951
200,21,17600
201,25,14890
202,14,6978
203,15,17657
204,19,25883
205,22,46090
206,17,17885
207,17,16929
208,19,24398
209,18,20277
210,19,29747
211,16,7278
212,14,11236
213,18,7731
214,17,11056
215,16,7022
216,15,7150
217,14,7901
218,15,5530
219,15,11779
220,14,9214
221,15,7410
222,14,8454
223,13,12331
224,17,8204
225,13,13120
226,13,7545
227,14,15407
228,13,8250
229,12,11167
230,13,8933
231,15,10951
232,14,8012
233,17,31527
234,17,17632
235,16,9402
236,12,8255
237,14,8437
238,14,9673
239,13,8415
240,13,5041
241,12,8323
242,11,9874
243,13,21622
244,11,25859
245,12,7127
246,12,25497
247,14,9955
248,16,12753
249,11,28893
250,13,27728
251,12,8063
252,13,11352
253,14,10735
254,13,64458
255,11,5105
256,11,7897
257,12,9648
258,13,7145
259,13,13324
260,14,10560
261,15,7376
262,13,7434
263,14,13239
264,11,11593
265,12,7100
266,12,8695
267,13,19487
268,13,9310
269,13,9994
270,13,14387
271,12,6807
272,12,16716
273,13,10774
274,15,7330
275,13,33496
276,11,5900
277,13,11377
278,12,8381
279,11,4742
280,12,12121
281,13,12351
282,12,8980
283,12,12295
284,13,6991
285,11,7758
286,11,13445
287,11,10318
288,10,8371
289,10,9102
290,9,7738
291,13,14891
292,13,13491
293,12,20073
294,14,44615
295,10,6447
296,11,38112
297,12,33273
298,10,19381
299,14,42646
300,13,24359
301,13,18338
302,16,25865
303,12,12666
304,13,11997
305,12,13695
306,11,12620
307,12,8044
308,18,25681
309,12,11771
310,14,6594
311,16,11678
312,13,8093
313,14,13020
314,11,7259
315,14,28545
316,12,5936
317,16,7637
318,13,9449
319,12,11856
320,14,11914
321,12,5536
322,14,5215
323,13,6711
324,12,8221
325,12,8979
326,12,10577
327,13,6283
328,14,10119
329,9,8783
330,10,10984
331,9,5604
332,11,10001
333,11,10165
334,10,13955
335,13,28845
336,11,4675
337,9,7715
338,13,5375
339,13,6186
340,14,6019
341,11,6072
342,15,5603
343,12,8436
344,13,13966
345,22,13247
346,17,15555
347,16,10748
348,17,14616
349,16,10549
350,12,8014
351,16,11336
352,17,16695
353,12,5729
354,13,4246
355,14,6526
356,13,7224
357,14,9993
358,17,9888
359,18,8732
360,14,7413
361,15,12793
362,12,7685
363,16,20557
364,12,7007
365,11,10327
366,12,6061
367,10,5179
368,10,7650
369,10,8075
370,10,4730
371,9,9194
372,10,8598
373,11,5998
374,10,8486
375,13,10872
376,12,6821
377,11,6967
378,11,6269
379,9,9236
380,10,4755
381,13,5891
382,10,5834
383,11,7213
384,9,12904
385,10,7325
386,11,5627
387,8,7219
388,8,3664
389,8,5510
390,9,6823
391,8,4059
392,8,4243
393,9,9826
394,8,5955
395,8,9417
396,9,5618
397,10,5906
398,9,9273
399,8,10401
400,8,5064
401,14,12260
402,12,8107
403,9,13541
404,8,5731
405,9,7163
406,10,10986
407,9,14198
408,9,16414
409,8,7722
410,9,8546
411,10,10542
412,9,7584
413,10,7804
414,9,7337
415,11,4112
416,9,4108
417,9,6523
418,9,4983
419,10,9699
420,10,8580
421,10,6555
422,10,9071
423,10,6499
424,10,9149
425,10,3954
426,10,6292
427,10,12043
428,11,6050
429,11,12020
430,10,16358
431,11,10127
432,9,7607
433,10,8750
434,9,8380
435,9,5011
436,11,22059
437,9,9730
438,9,5024
439,10,7167
440,12,10815
441,12,8657
442,10,5058
443,12,10132
444,9,12837
445,12,6722
446,12,11516
447,9,10525
448,11,5335
449,11,17315
450,12,21586
451,9,7526
452,11,8239
453,10,9421
454,11,15793
455,9,8669
456,8,10380
457,8,9070
458,9,10634
459,7,7428
460,12,11759
461,9,17015
462,10,7234
463,9,5015
464,9,7152
465,10,11164
466,7,4554
467,10,12156
468,9,4626
469,8,5536
470,8,4686
471,8,7423
472,10,13548
473,10,6042
474,10,8557
475,10,4288
476,11,4910
477,10,4909
478,9,6034
479,9,7486
480,10,3791
481,8,4417
482,10,4994
483,9,6014
484,9,8752
485,11,23293
486,9,8302
487,10,5282
488,7,4106
489,9,6986
490,9,4227
491,10,7439
492,9,7016
493,12,11833
494,8,9370
495,9,4804
496,10,7183
497,12,7614
498,9,11404
499,10,6892
500,10,7803
501,9,9277
502,10,5716
503,9,7740
504,7,17433
505,9,6197
506,9,5188
507,9,6262
508,9,6053
509,9,15788
510,10,8025
511,9,6519
512,9,3534
513,9,7126
514,8,5358
515,9,3145
516,8,2842
517,9,10146
518,9,12735
519,8,6203
520,8,5767
521,8,5267
522,8,4128
523,11,7341
524,9,8769
525,9,8517
526,10,7879
527,9,10043
528,10,23266
529,9,17681
530,9,6309
531,9,5443
532,9,9326
533,9,15579
534,8,10205
535,9,8638
536,11,6470
537,9,8860
538,8,6451
539,12,5142
540,9,5536
541,10,5842
542,10,6525
543,9,8577
544,9,9493
545,11,8080
546,10,6004
547,10,8361
548,8,7254
549,9,9467
550,8,9200
551,10,6736
552,9,11264
553,8,27376
554,8,12736
555,9,14473
556,10,10696
557,9,10263
558,9,13406
559,9,15556
560,9,18613
561,9,6895
562,11,9052
563,8,7764
564,8,16163
565,10,9902
566,8,12384
567,9,7184
568,10,13841
569,11,25977
570,10,14525
571,12,13239
572,13,10917
573,15,8697
574,12,13331
575,13,5528
576,14,12341
577,13,7422
578,9,8377
579,10,19411
580,11,14276
581,10,17128
582,13,13972
583,9,7376
584,9,5705
585,10,11311
586,11,15308
587,12,15608
588,11,11639
589,14,19180
590,11,21053
591,10,10009
592,10,11422
593,11,32088
594,11,41693
595,11,17173
596,11,17654
597,9,7294
598,12,8674
599,9,8723
600,8,7514
601,9,12034
602,10,7999
603,10,14475
604,8,17570
605,9,15406
606,10,3593
607,10,13146
608,11,8116
609,10,13395
610,10,7855
611,9,6040
612,10,13511
613,10,12246
614,8,6589
615,10,7415
616,13,25113
617,10,37344
618,10,43871
619,9,23822
620,9,6131
621,8,25319
622,10,20040
623,12,10816
624,10,18422
625,14,14888
626,10,6512
627,14,9360
628,9,9785
629,15,20885
630,10,6190
631,13,21883
632,10,6857
633,15,12899
634,13,17156
635,10,11954
636,17,14548
637,7,11490
638,10,8442
639,7,6094
640,6,12788
641,8,21668
642,10,16238
643,9,4395
644,13,14218
645,17,28734
646,40,54033
647,17,20115
648,10,20332
649,16,19909
650,14,11581
651,11,21890
652,19,29837
653,10,3510
654,6,4069
655,7,1935
656,6,1844
657,6,1297
658,5,4159
659,5,1173
660,6,766
661,5,3738
662,6,2450
663,8,4010
664,11,8379
665,7,1890
666,8,2353
667,9,7946
668,7,2921
669,9,3900
670,5,1416
671,6,2061
672,5,2683
673,6,11606
674,9,6198
675,7,8846
676,6,2258
677,5,2162
678,6,11037
679,7,9807
680,6,7334
681,5,4532
682,8,8539
683,6,3385
684,5,4513
685,5,1079
686,6,4620
687,7,3151
688,6,5319
689,6,3992
690,6,3291
691,6,3602
692,7,3530
693,5,2138
694,6,2311
695,4,3585
696,6,2612
697,6,2516
698,9,6832
699,8,7512
700,11,18221
701,7,9575
702,7,3807
703,7,5514
704,6,2692
705,7,4739
706,6,7105
707,7,7612
708,7,8806
709,8,5836
710,8,12975
711,6,4799
712,6,2143
713,8,19137
714,7,23841
715,7,9917
716,14,18536
717,8,2492
718,10,4656
719,7,5931
720,10,5536
721,8,3640
722,10,5670
723,8,8541
724,9,6204
725,9,10987
726,10,2941
727,8,2774
728,9,6815
729,9,4391
730,7,2963
731,7,5114
732,6,3094
733,7,9222
734,6,25065
735,11,15613
736,11,7474
737,7,25279
738,7,18345
739,8,29828
740,8,3183
741,7,2551
742,10,5552
743,7,2534
744,5,1672
745,9,2882
746,6,1147
747,5,1744
748,7,10018
749,8,3211
750,6,6118
751,6,7865
752,7,7911
753,7,7990
754,5,4790
755,5,3006
756,7,3940
757,4,17582
758,7,6746
759,6,5981
760,5,9656
761,6,15732
762,10,7522
763,6,207203
764,6,54642
765,9,46759
766,5,58832
767,7,26666
768,6,17582
769,3,25890
770,4,20546
771,3,26067
772,5,45933
773,3,1347
774,6,746
775,3,3343
776,2,1253
777,1,523
778,3,2630
779,2,1336
780,2,1959
781,1,376
782,2,808
783,6,11657
784,1,303
785,1,648
786,1,842
787,2,417
788,2,1926
789,2,709
790,2,371
791,2,2813
792,3,858
793,2,1992
794,1,781
795,1,585
796,2,603
797,2,1249
798,2,753
799,3,1709
800,3,1299
801,2,1029
802,3,850
803,3,8489
804,3,437
805,3,1922
806,3,1174
807,4,1813
808,2,433
809,2,375
810,1,679
811,3,989
812,1,156
813,2,992
814,2,545
815,2,565
816,2,923
817,2,415
818,2,522
819,4,1634
820,2,660
821,3,1061
822,2,676
823,2,525
824,1,413
825,2,732
826,2,304
827,2,376
828,2,1312
829,2,515
830,2,310
831,3,1173
832,1,251
833,2,1563
834,3,595
835,2,594
836,2,586
837,1,639
838,2,533
839,1,737
840,2,398
841,2,904
842,3,1684
843,2,873
844,4,1107
845,1,553
846,3,1483
847,2,1072
848,2,1140
849,4,928
850,2,12495
851,2,870
852,2,663
853,4,806
854,1,906
855,3,1043
856,2,935
857,4,1024
858,2,1630
859,1,400
860,3,1486
861,3,1504
862,3,2090
863,4,1139
864,1,460
865,1,900
866,1,472
867,2,403
868,1,284
869,2,522
870,1,367
871,2,1829
872,2,5191
873,1,568
874,1,553
875,3,189020
876,1,707
877,1,319
878,2,693
879,1,546
880,1,158
881,1,627
882,3,4839
883,3,1950
884,2,1257
885,2,1202
886,1,1005
887,1,458
888,2,396
889,1,737
890,3,542
891,1,1659
892,1,642
893,1,625
894,2,757
895,1,451
896,1,1988
897,1,834
898,1,251
899,2,1286
900,1,1327
901,2,1596
902,5,2446
903,2,499
904,3,889
905,2,1141
906,3,858
907,4,1932
908,2,965
909,4,4207
910,3,1589
911,2,161
912,1,183
913,1,283
914,2,418
915,1,301
916,1,409
917,1,355
918,2,308
919,1,2247
920,1,1205
921,1,274
922,2,882
923,1,169
924,1,233
925,1,452
926,1,303
927,1,554
928,2,1889
929,2,307
930,3,594
931,2,710
932,2,578
933,2,379
934,1,259
935,2,632
936,2,618
937,3,249
938,2,5730
939,1,1266
940,4,376
941,2,1172
942,2,362
943,3,457
944,3,9824
945,6,3337
946,3,3089
947,4,4407
948,6,2230
949,5,648
950,4,502
951,4,550
952,2,299
953,4,4323
954,2,325
955,5,1369
956,3,392
957,2,2062
958,3,3104
959,3,2668
960,3,2091
961,4,2110
962,2,607
963,3,8719
964,3,1049
965,4,2622
966,4,1169
967,5,549
968,2,697
969,3,1578
970,3,1246
971,2,525
972,6,1986
973,4,1359
974,5,392
975,3,1555
976,3,436
977,2,433
978,4,4450
979,4,2724
980,3,385
981,3,365
982,3,1500
983,3,742
984,3,1557
985,3,846
986,3,1125
987,4,370
988,2,1319
989,3,2394
990,5,1592
991,3,444
992,6,1756
993,3,2840
994,4,2208
995,4,1644
996,4,1467
997,4,518
998,5,385
999,3,440
